Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
D1,22/03/14,Schalke 04,Braunschweig,3,1
D1,22/03/14,Stuttgart,Hamburg,1,0
D1,22/03/14,Wolfsburg,Augsburg,1,1
D1,23/03/14,Leverkusen,Hoffenheim,2,3
D1,23/03/14,Nurnberg,Ein Frankfurt,2,5
D1,25/03/14,Braunschweig,Mainz,3,1
D1,25/03/14,Dortmund,Schalke 04,0,0
D1,25/03/14,Hertha,Bayern Munich,1,3
D1,25/03/14,Werder Bremen,Wolfsburg,1,3
D1,26/03/14,Augsburg,Leverkusen,1,3
D1,26/03/14,Ein Frankfurt,M'gladbach,1,0
D1,26/03/14,Hamburg,Freiburg,1,1
D1,26/03/14,Hoffenheim,Hannover,3,1
D1,26/03/14,Nurnberg,Stuttgart,2,0
D1,28/03/14,Schalke 04,Hertha,2,0
D1,29/03/14,Bayern Munich,Hoffenheim,3,3
D1,29/03/14,Freiburg,Nurnberg,3,2
D1,29/03/14,Leverkusen,Braunschweig,1,1
D1,29/03/14,Mainz,Augsburg,3,0
D1,29/03/14,Stuttgart,Dortmund,2,3
D1,29/03/14,Wolfsburg,Ein Frankfurt,2,1
D1,30/03/14,Hannover,Werder Bremen,1,2
D1,30/03/14,M'gladbach,Hamburg,3,1
D1,04/04/14,Hamburg,Leverkusen,2,1
D1,05/04/14,Augsburg,Bayern Munich,1,0
D1,05/04/14,Dortmund,Wolfsburg,2,1
D1,05/04/14,Ein Frankfurt,Mainz,2,0
D1,05/04/14,Nurnberg,M'gladbach,0,2
D1,05/04/14,Stuttgart,Freiburg,2,0
D1,05/04/14,Werder Bremen,Schalke 04,1,1
D1,06/04/14,Braunschweig,Hannover,3,0
D1,06/04/14,Hertha,Hoffenheim,1,1
D1,11/04/14,Schalke 04,Ein Frankfurt,2,0
D1,12/04/14,Bayern Munich,Dortmund,0,3
D1,12/04/14,Freiburg,Braunschweig,2,0
D1,12/04/14,Hannover,Hamburg,2,1
D1,12/04/14,Mainz,Werder Bremen,3,0
D1,12/04/14,M'gladbach,Stuttgart,1,1
D1,12/04/14,Wolfsburg,Nurnberg,4,1
D1,13/04/14,Hoffenheim,Augsburg,2,0
D1,13/04/14,Leverkusen,Hertha,2,1
D1,17/04/14,Ein Frankfurt,Hannover,2,3
D1,19/04/14,Augsburg,Hertha,0,0
D1,19/04/14,Braunschweig,Bayern Munich,0,2
D1,19/04/14,Dortmund,Mainz,4,2
D1,19/04/14,Freiburg,M'gladbach,4,2
D1,19/04/14,Hamburg,Wolfsburg,1,3
D1,19/04/14,Werder Bremen,Hoffenheim,3,1
D1,20/04/14,Nurnberg,Leverkusen,1,4
D1,20/04/14,Stuttgart,Schalke 04,3,1
D1,25/04/14,Hannover,Stuttgart,0,0
D1,26/04/14,Bayern Munich,Werder Bremen,5,2
D1,26/04/14,Hertha,Braunschweig,2,0
D1,26/04/14,Hoffenheim,Ein Frankfurt,0,0
D1,26/04/14,Leverkusen,Dortmund,2,2
D1,26/04/14,Mainz,Nurnberg,2,0
D1,26/04/14,Wolfsburg,Freiburg,2,2
D1,27/04/14,Augsburg,Hamburg,3,1
D1,27/04/14,Schalke 04,M'gladbach,0,1
D1,03/05/14,Braunschweig,Augsburg,0,1
D1,03/05/14,Dortmund,Hoffenheim,3,2
D1,03/05/14,Ein Frankfurt,Leverkusen,0,2
D1,03/05/14,Freiburg,Schalke 04,0,2
D1,03/05/14,Hamburg,Bayern Munich,1,4
D1,03/05/14,M'gladbach,Mainz,3,1
D1,03/05/14,Nurnberg,Hannover,0,2
D1,03/05/14,Stuttgart,Wolfsburg,1,2
D1,03/05/14,Werder Bremen,Hertha,2,0
D1,10/05/14,Augsburg,Ein Frankfurt,2,1
D1,10/05/14,Bayern Munich,Stuttgart,1,0
D1,10/05/14,Hannover,Freiburg,3,2
D1,10/05/14,Hertha,Dortmund,0,4
D1,10/05/14,Hoffenheim,Braunschweig,3,1
D1,10/05/14,Leverkusen,Werder Bremen,2,1
D1,10/05/14,Mainz,Hamburg,3,2
D1,10/05/14,Schalke 04,Nurnberg,4,1
D1,10/05/14,Wolfsburg,M'gladbach,3,1
